19 de enero 2021,11,8,0 mm,Cielo cubierto,33 Km/h,A Coruña
19 de enero 2020,9,7,"2,7 mm",Parcialmente nublado,33 Km/h,A Coruña
19 de enero 2019,12,9,"35,7 mm",Lluvias con tormenta fuertes o moderadas en la región,24 Km/h,A Coruña
20 de enero 2023,13,12,"3,5 mm",Ligeras precipitaciones,22 Km/h,A Coruña
20 de enero 2022,14,7,0 mm,Parcialmente nublado,27 Km/h,A Coruña
20 de enero 2021,12,10,"29,1 mm",Lluvias con tormenta fuertes o moderadas en la región,39 Km/h,A Coruña
20 de enero 2020,8,7,"0,2 mm",Lluvia moderada a intervalos,38 Km/h,A Coruña
20 de enero 2019,11,9,"9,2 mm",Ligeras precipitaciones,22 Km/h,A Coruña
21 de enero 2023,12,10,"1,1 mm",Ligeras precipitaciones,22 Km/h,A Coruña
21 de enero 2022,12,7,0 mm,Despejado,31 Km/h,A Coruña
21 de enero 2021,13,9,"13,8 mm",Lluvias con tormenta fuertes o moderadas en la región,44 Km/h,A Coruña
21 de enero 2020,10,7,0 mm,Nublado,34 Km/h,A Coruña
21 de enero 2019,11,9,"0,8 mm",Lluvia moderada a intervalos,15 Km/h,A Coruña
22 de enero 2023,12,6,0 mm,Parcialmente nublado,17 Km/h,A Coruña
22 de enero 2022,13,4,0 mm,Despejado,22 Km/h,A Coruña
22 de enero 2021,10,6,"23,5 mm",Lluvias fuertes o moderadas,46 Km/h,A Coruña
22 de enero 2020,11,9,"0,1 mm",Cielo cubierto,32 Km/h,A Coruña
22 de enero 2019,10,9,"22,5 mm",Lluvia moderada,24 Km/h,A Coruña
23 de enero 2023,12,4,0 mm,Despejado,25 Km/h,A Coruña
23 de enero 2022,12,5,0 mm,Despejado,9 Km/h,A Coruña
23 de enero 2021,11,8,"23,9 mm",Ligeras precipitaciones,36 Km/h,A Coruña
23 de enero 2020,12,8,"0,2 mm",Lluvia moderada a intervalos,19 Km/h,A Coruña
23 de enero 2019,12,11,"21,6 mm",Ligeras precipitaciones,30 Km/h,A Coruña
24 de enero 2023,11,6,0 mm,Cielo cubierto,28 Km/h,A Coruña
24 de enero 2022,11,4,0 mm,Despejado,7 Km/h,A Coruña
24 de enero 2021,11,9,"8,8 mm",Ligeras precipitaciones,24 Km/h,A Coruña
24 de enero 2020,11,8,"0,5 mm",Lluvia moderada a intervalos,7 Km/h,A Coruña
24 de enero 2019,12,11,"6,7 mm",Ligeras precipitaciones,19 Km/h,A Coruña
25 de enero 2023,11,8,0 mm,Cielo cubierto,25 Km/h,A Coruña
25 de enero 2022,13,5,0 mm,Despejado,8 Km/h,A Coruña
25 de enero 2021,13,10,"23,1 mm",Fuertes lluvias,11 Km/h,A Coruña
25 de enero 2020,12,7,0 mm,Parcialmente nublado,11 Km/h,A Coruña
25 de enero 2019,11,9,1 mm,Lluvia moderada a intervalos,12 Km/h,A Coruña
26 de enero 2023,10,8,"1,2 mm",Ligeras precipitaciones,36 Km/h,A Coruña
26 de enero 2022,14,5,0 mm,Despejado,19 Km/h,A Coruña
26 de enero 2021,14,10,"3,8 mm",Ligeras lluvias,14 Km/h,A Coruña
26 de enero 2020,12,8,"2,7 mm",Nublado,25 Km/h,A Coruña
26 de enero 2019,11,7,"0,3 mm",Cielo cubierto,19 Km/h,A Coruña
27 de enero 2023,10,8,"0,6 mm",Lluvia moderada a intervalos,30 Km/h,A Coruña
27 de enero 2022,16,6,0 mm,Despejado,20 Km/h,A Coruña
27 de enero 2021,15,13,"3,3 mm",Neblina,19 Km/h,A Coruña
27 de enero 2020,11,9,"8,9 mm",Ligeras precipitaciones,30 Km/h,A Coruña
27 de enero 2019,11,9,"3,7 mm",Ligeras precipitaciones,23 Km/h,A Coruña
28 de enero 2023,10,8,"0,4 mm",Lluvia moderada a intervalos,28 Km/h,A Coruña
28 de enero 2022,16,5,0 mm,Despejado,20 Km/h,A Coruña
28 de enero 2021,15,13,"6,5 mm",Ligeras precipitaciones,23 Km/h,A Coruña
28 de enero 2020,10,7,"15,2 mm",Ligeras lluvias,21 Km/h,A Coruña
28 de enero 2019,11,9,"4,6 mm",Ligeras precipitaciones,20 Km/h,A Coruña
29 de enero 2023,12,6,0 mm,Parcialmente nublado,25 Km/h,A Coruña
29 de enero 2022,14,6,0 mm,Despejado,13 Km/h,A Coruña
29 de enero 2021,14,12,"9,4 mm",Ligeras precipitaciones,30 Km/h,A Coruña
29 de enero 2020,13,11,"47,5 mm",Fuertes lluvias,30 Km/h,A Coruña
29 de enero 2019,11,8,"15,5 mm",Ligeras precipitaciones,34 Km/h,A Coruña
30 de enero 2023,14,4,0 mm,Despejado,20 Km/h,A Coruña
30 de enero 2022,15,7,0 mm,Parcialmente nublado,18 Km/h,A Coruña
30 de enero 2021,10,6,"19,9 mm",Lluvias fuertes o moderadas,40 Km/h,A Coruña
30 de enero 2020,14,12,"17,1 mm",Ligeras precipitaciones,29 Km/h,A Coruña
30 de enero 2019,10,4,"18,4 mm",Lluvia moderada,28 Km/h,A Coruña
31 de enero 2023,14,5,0 mm,Parcialmente nublado,18 Km/h,A Coruña
31 de enero 2022,13,7,0 mm,Nublado,29 Km/h,A Coruña
31 de enero 2021,13,9,"5,2 mm",Ligeras precipitaciones,31 Km/h,A Coruña
31 de enero 2020,15,12,"3,4 mm",Llovizna,23 Km/h,A Coruña
31 de enero 2019,12,9,"30,3 mm",Lluvias fuertes o moderadas,34 Km/h,A Coruña
1 de febrero 2023,15,8,0 mm,Despejado,24 Km/h,A Coruña
1 de febrero 2022,16,8,0 mm,Despejado,26 Km/h,A Coruña
1 de febrero 2021,14,8,"3,7 mm",Ligeras precipitaciones,27 Km/h,A Coruña
1 de febrero 2020,15,14,"19,3 mm",Ligeras precipitaciones,22 Km/h,A Coruña
1 de febrero 2019,8,7,"31,2 mm",Lluvias fuertes o moderadas,40 Km/h,A Coruña
2 de febrero 2022,17,7,0 mm,Despejado,12 Km/h,A Coruña
2 de febrero 2021,13,8,"45,9 mm",Fuertes lluvias,28 Km/h,A Coruña
2 de febrero 2020,16,14,0 mm,Cielo cubierto,28 Km/h,A Coruña
2 de febrero 2019,9,6,"12,4 mm",Lluvias fuertes o moderadas,31 Km/h,A Coruña
3 de febrero 2023,14,6,0 mm,Despejado,8 Km/h,A Coruña
3 de febrero 2022,14,8,"0,1 mm",Parcialmente nublado,17 Km/h,A Coruña
3 de febrero 2021,11,9,"15,1 mm",Ligeras precipitaciones,33 Km/h,A Coruña
3 de febrero 2020,17,13,0 mm,Despejado,24 Km/h,A Coruña
3 de febrero 2019,11,5,"0,5 mm",Parcialmente nublado,10 Km/h,A Coruña
4 de febrero 2023,12,6,0 mm,Despejado,10 Km/h,A Coruña
4 de febrero 2022,13,10,0 mm,Cielo cubierto,15 Km/h,A Coruña
4 de febrero 2021,12,9,"5,6 mm",Ligeras precipitaciones,23 Km/h,A Coruña
4 de febrero 2020,14,11,0 mm,Parcialmente nublado,15 Km/h,A Coruña
4 de febrero 2019,12,7,0 mm,Nublado,22 Km/h,A Coruña
5 de febrero 2023,17,7,0 mm,Despejado,26 Km/h,A Coruña
5 de febrero 2022,12,8,"0,1 mm",Nublado,23 Km/h,A Coruña
5 de febrero 2021,11,7,"1,6 mm",Ligeras precipitaciones,30 Km/h,A Coruña
5 de febrero 2020,13,8,0 mm,Parcialmente nublado,18 Km/h,A Coruña
5 de febrero 2019,13,10,0 mm,Nublado,16 Km/h,A Coruña
6 de febrero 2023,15,6,0 mm,Despejado,22 Km/h,A Coruña
6 de febrero 2022,12,5,0 mm,Cielo cubierto,11 Km/h,A Coruña
6 de febrero 2021,9,4,"5,3 mm",Ligeras precipitaciones,31 Km/h,A Coruña
6 de febrero 2020,15,9,0 mm,Parcialmente nublado,11 Km/h,A Coruña
6 de febrero 2019,12,9,1 mm,Cielo cubierto,18 Km/h,A Coruña
7 de febrero 2023,11,5,0 mm,Nublado,32 Km/h,A Coruña
7 de febrero 2022,17,7,0 mm,Despejado,23 Km/h,A Coruña
7 de febrero 2021,9,3,"13,6 mm",Ligeras lluvias,34 Km/h,A Coruña
7 de febrero 2020,14,10,"0,6 mm",Nublado,18 Km/h,A Coruña
7 de febrero 2019,11,8,"2,6 mm",Ligeras precipitaciones,15 Km/h,A Coruña
8 de febrero 2023,14,6,0 mm,Despejado,28 Km/h,A Coruña
8 de febrero 2022,16,7,0 mm,Despejado,11 Km/h,A Coruña
8 de febrero 2021,11,7,"13,1 mm",Ligeras precipitaciones,26 Km/h,A Coruña
8 de febrero 2020,11,9,"6,8 mm",Llovizna,16 Km/h,A Coruña
8 de febrero 2019,11,7,"1,2 mm",Llovizna,26 Km/h,A Coruña
9 de febrero 2023,14,6,0 mm,Despejado,25 Km/h,A Coruña
9 de febrero 2022,17,8,0 mm,Despejado,10 Km/h,A Coruña
9 de febrero 2021,10,9,"36,2 mm",Ligeras precipitaciones,33 Km/h,A Coruña
9 de febrero 2020,13,8,"0,1 mm",Cielo cubierto,27 Km/h,A Coruña
9 de febrero 2019,13,11,6 mm,Ligeras precipitaciones,25 Km/h,A Coruña
10 de febrero 2023,15,5,0 mm,Despejado,13 Km/h,A Coruña
10 de febrero 2022,13,9,"0,3 mm",Lluvia moderada a intervalos,21 Km/h,A Coruña
10 de febrero 2021,11,7,"5,5 mm",Ligeras precipitaciones,31 Km/h,A Coruña
10 de febrero 2020,14,11,"1,6 mm",Ligeras precipitaciones,24 Km/h,A Coruña
10 de febrero 2019,11,8,"12,2 mm",Periodos de fuertes lluvias,34 Km/h,A Coruña
11 de febrero 2023,15,5,0 mm,Despejado,10 Km/h,A Coruña
11 de febrero 2022,13,10,"1,9 mm",Cielo cubierto,26 Km/h,A Coruña
11 de febrero 2021,13,5,"32,2 mm",Intervalos de lluvias ligeras con tomenta en la región,19 Km/h,A Coruña
11 de febrero 2020,11,9,"5,6 mm",Ligeras lluvias,12 Km/h,A Coruña
11 de febrero 2019,11,7,0 mm,Despejado,13 Km/h,A Coruña
12 de febrero 2023,16,6,0 mm,Despejado,11 Km/h,A Coruña
12 de febrero 2022,14,8,0 mm,Nublado,14 Km/h,A Coruña
12 de febrero 2021,13,10,"11,8 mm",Lluvias fuertes o moderadas,20 Km/h,A Coruña
12 de febrero 2020,13,7,4 mm,Lluvia moderada a intervalos,18 Km/h,A Coruña
12 de febrero 2019,15,7,0 mm,Despejado,9 Km/h,A Coruña
13 de febrero 2023,15,7,0 mm,Parcialmente nublado,14 Km/h,A Coruña
13 de febrero 2022,12,8,"5,3 mm",Ligeras precipitaciones,35 Km/h,A Coruña
13 de febrero 2021,13,9,"2,4 mm",Lluvias ligeras a intervalos,20 Km/h,A Coruña
13 de febrero 2020,13,11,4 mm,Ligeras precipitaciones,23 Km/h,A Coruña
13 de febrero 2019,17,8,0 mm,Despejado,10 Km/h,A Coruña
14 de febrero 2023,16,8,0 mm,Parcialmente nublado,16 Km/h,A Coruña
14 de febrero 2022,11,8,"3,6 mm",Ligeras precipitaciones,32 Km/h,A Coruña
14 de febrero 2021,15,12,0 mm,Parcialmente nublado,23 Km/h,A Coruña
14 de febrero 2020,14,11,"0,7 mm",Ligeras precipitaciones,16 Km/h,A Coruña
14 de febrero 2019,19,9,0 mm,Despejado,13 Km/h,A Coruña
15 de febrero 2023,14,10,0 mm,Parcialmente nublado,11 Km/h,A Coruña
15 de febrero 2022,11,6,"0,2 mm",Lluvia moderada a intervalos,18 Km/h,A Coruña
