7 de marzo 2019,11,8,13 mm,Lluvia moderada,27 Km/h,A Coruña
8 de marzo 2023,15,13,"15,5 mm",Ligeras precipitaciones,37 Km/h,A Coruña
8 de marzo 2022,11,7,3 mm,Ligeras precipitaciones,24 Km/h,A Coruña
8 de marzo 2021,9,6,"0,2 mm",Lluvia moderada a intervalos,26 Km/h,A Coruña
8 de marzo 2020,12,10,"4,4 mm",Ligeras precipitaciones,25 Km/h,A Coruña
8 de marzo 2019,13,9,"1,2 mm",Cielo cubierto,13 Km/h,A Coruña
9 de marzo 2023,14,12,"24,1 mm",Lluvias fuertes o moderadas,37 Km/h,A Coruña
9 de marzo 2022,15,8,0 mm,Cielo cubierto,28 Km/h,A Coruña
9 de marzo 2021,10,5,0 mm,Cielo cubierto,19 Km/h,A Coruña
9 de marzo 2020,14,8,"0,3 mm",Parcialmente nublado,18 Km/h,A Coruña
9 de marzo 2019,15,10,"0,4 mm",Llovizna,15 Km/h,A Coruña
10 de marzo 2023,16,10,"2,8 mm",Cielo cubierto,37 Km/h,A Coruña
10 de marzo 2022,13,10,"4,9 mm",Ligeras lluvias,28 Km/h,A Coruña
10 de marzo 2021,12,6,"0,8 mm",Llovizna,18 Km/h,A Coruña
10 de marzo 2020,16,9,0 mm,Nublado,16 Km/h,A Coruña
10 de marzo 2019,12,9,"1,8 mm",Ligeras precipitaciones,16 Km/h,A Coruña
11 de marzo 2023,14,13,"26,6 mm",Ligeras precipitaciones,31 Km/h,A Coruña
11 de marzo 2022,11,8,3 mm,Ligeras precipitaciones,31 Km/h,A Coruña
11 de marzo 2021,13,9,"10,3 mm",Lluvia moderada,25 Km/h,A Coruña
11 de marzo 2020,15,11,"0,3 mm",Lluvia moderada a intervalos,13 Km/h,A Coruña
11 de marzo 2019,14,8,0 mm,Despejado,10 Km/h,A Coruña
12 de marzo 2023,17,13,4 mm,Lluvia moderada a intervalos,33 Km/h,A Coruña
12 de marzo 2022,11,6,"5,5 mm",Lluvia moderada,32 Km/h,A Coruña
12 de marzo 2021,12,8,"3,2 mm",Periodos de lluvia moderada,21 Km/h,A Coruña
12 de marzo 2020,12,9,"0,8 mm",Ligeras precipitaciones,22 Km/h,A Coruña
12 de marzo 2019,12,8,"2,1 mm",Ligeras lluvias,22 Km/h,A Coruña
13 de marzo 2023,13,10,"11,4 mm",Ligeras precipitaciones,40 Km/h,A Coruña
13 de marzo 2022,13,6,1 mm,Lluvia moderada a intervalos,20 Km/h,A Coruña
13 de marzo 2021,11,9,"5,3 mm",Ligeras precipitaciones,24 Km/h,A Coruña
13 de marzo 2020,12,8,0 mm,Nublado,24 Km/h,A Coruña
13 de marzo 2019,11,7,"2,7 mm",Lluvia moderada a intervalos,16 Km/h,A Coruña
14 de marzo 2023,14,10,"4,4 mm",Lluvia moderada a intervalos,25 Km/h,A Coruña
14 de marzo 2022,13,7,"1,5 mm",Cielo cubierto,25 Km/h,A Coruña
14 de marzo 2021,11,8,"3,4 mm",Ligeras precipitaciones,16 Km/h,A Coruña
14 de marzo 2020,13,7,0 mm,Parcialmente nublado,10 Km/h,A Coruña
14 de marzo 2019,11,7,"0,2 mm",Parcialmente nublado,9 Km/h,A Coruña
15 de marzo 2023,16,8,0 mm,Cielo cubierto,18 Km/h,A Coruña
15 de marzo 2022,15,9,0 mm,Cielo cubierto,26 Km/h,A Coruña
15 de marzo 2021,13,6,0 mm,Parcialmente nublado,23 Km/h,A Coruña
15 de marzo 2020,9,8,"14,2 mm",Lluvia moderada,28 Km/h,A Coruña
15 de marzo 2019,13,7,0 mm,Despejado,11 Km/h,A Coruña
16 de marzo 2023,14,10,"9,4 mm",Ligeras lluvias,26 Km/h,A Coruña
16 de marzo 2022,11,9,"5,7 mm",Ligeras precipitaciones,36 Km/h,A Coruña
16 de marzo 2021,15,8,0 mm,Parcialmente nublado,28 Km/h,A Coruña
16 de marzo 2020,10,8,"9,3 mm",Ligeras precipitaciones,30 Km/h,A Coruña
16 de marzo 2019,13,9,"0,1 mm",Despejado,23 Km/h,A Coruña
17 de marzo 2023,13,11,"6,1 mm",Ligeras precipitaciones,27 Km/h,A Coruña
17 de marzo 2022,15,9,"0,1 mm",Parcialmente nublado,34 Km/h,A Coruña
17 de marzo 2021,14,10,0 mm,Parcialmente nublado,31 Km/h,A Coruña
17 de marzo 2020,14,8,"0,4 mm",Nublado,25 Km/h,A Coruña
17 de marzo 2019,10,7,"4,8 mm",Periodos de lluvia moderada,24 Km/h,A Coruña
18 de marzo 2023,13,10,"18,7 mm",Lluvias fuertes o moderadas,27 Km/h,A Coruña
18 de marzo 2022,18,8,0 mm,Despejado,27 Km/h,A Coruña
18 de marzo 2021,12,8,0 mm,Parcialmente nublado,31 Km/h,A Coruña
18 de marzo 2020,16,11,0 mm,Parcialmente nublado,13 Km/h,A Coruña
18 de marzo 2019,11,7,"0,3 mm",Parcialmente nublado,18 Km/h,A Coruña
19 de marzo 2023,13,8,1 mm,Lluvia moderada a intervalos,10 Km/h,A Coruña
19 de marzo 2022,16,9,0 mm,Nublado,12 Km/h,A Coruña
19 de marzo 2021,11,8,"1,8 mm",Ligeras precipitaciones,33 Km/h,A Coruña
19 de marzo 2020,13,11,"0,6 mm",Lluvia moderada a intervalos,9 Km/h,A Coruña
19 de marzo 2019,12,8,0 mm,Despejado,20 Km/h,A Coruña
20 de marzo 2023,19,9,"0,1 mm",Cielo cubierto,16 Km/h,A Coruña
20 de marzo 2022,17,11,0 mm,Parcialmente nublado,12 Km/h,A Coruña
20 de marzo 2021,10,7,"0,1 mm",Parcialmente nublado,31 Km/h,A Coruña
20 de marzo 2020,14,11,"7,1 mm",Ligeras precipitaciones,8 Km/h,A Coruña
20 de marzo 2019,14,9,0 mm,Despejado,22 Km/h,A Coruña
21 de marzo 2023,18,10,"0,9 mm",Lluvia moderada a intervalos,16 Km/h,A Coruña
21 de marzo 2022,16,10,0 mm,Parcialmente nublado,11 Km/h,A Coruña
21 de marzo 2021,12,6,0 mm,Parcialmente nublado,27 Km/h,A Coruña
21 de marzo 2020,14,11,"1,3 mm",Ligeras precipitaciones,9 Km/h,A Coruña
21 de marzo 2019,15,8,0 mm,Despejado,18 Km/h,A Coruña
22 de marzo 2023,14,11,4 mm,Llovizna,27 Km/h,A Coruña
22 de marzo 2022,14,11,"0,4 mm",Llovizna,17 Km/h,A Coruña
22 de marzo 2021,14,6,0 mm,Parcialmente nublado,19 Km/h,A Coruña
22 de marzo 2020,14,11,"0,1 mm",Lluvia moderada a intervalos,27 Km/h,A Coruña
22 de marzo 2019,17,9,0 mm,Despejado,10 Km/h,A Coruña
23 de marzo 2023,14,12,"26,5 mm",Llovizna,34 Km/h,A Coruña
23 de marzo 2022,15,10,"1,3 mm",Llovizna,12 Km/h,A Coruña
23 de marzo 2021,14,10,0 mm,Parcialmente nublado,13 Km/h,A Coruña
23 de marzo 2020,11,9,"0,1 mm",Lluvia moderada a intervalos,23 Km/h,A Coruña
23 de marzo 2019,18,10,0 mm,Despejado,10 Km/h,A Coruña
24 de marzo 2023,14,9,"11,9 mm",Lluvia moderada a intervalos,27 Km/h,A Coruña
24 de marzo 2022,16,9,0 mm,Parcialmente nublado,16 Km/h,A Coruña
24 de marzo 2021,12,9,"0,1 mm",Cielo cubierto,12 Km/h,A Coruña
24 de marzo 2020,15,8,0 mm,Parcialmente nublado,13 Km/h,A Coruña
24 de marzo 2019,16,10,0 mm,Despejado,24 Km/h,A Coruña
25 de marzo 2023,15,8,"2,4 mm",Llovizna,42 Km/h,A Coruña
25 de marzo 2022,15,9,0 mm,Nublado,20 Km/h,A Coruña
25 de marzo 2021,13,9,"0,7 mm",Lluvia moderada a intervalos,10 Km/h,A Coruña
25 de marzo 2020,15,11,0 mm,Parcialmente nublado,10 Km/h,A Coruña
25 de marzo 2019,15,10,0 mm,Despejado,29 Km/h,A Coruña
26 de marzo 2023,14,8,3 mm,Ligeras precipitaciones,29 Km/h,A Coruña
26 de marzo 2022,17,10,"0,1 mm",Parcialmente nublado,18 Km/h,A Coruña
26 de marzo 2021,11,6,"1,2 mm",Ligeras precipitaciones,15 Km/h,A Coruña
26 de marzo 2020,12,7,0 mm,Parcialmente nublado,29 Km/h,A Coruña
26 de marzo 2019,15,10,0 mm,Despejado,28 Km/h,A Coruña
27 de marzo 2023,18,6,"0,1 mm",Despejado,13 Km/h,A Coruña
27 de marzo 2022,17,11,0 mm,Despejado,12 Km/h,A Coruña
27 de marzo 2021,16,6,0 mm,Parcialmente nublado,15 Km/h,A Coruña
27 de marzo 2020,14,6,0 mm,Parcialmente nublado,22 Km/h,A Coruña
27 de marzo 2019,16,9,0 mm,Despejado,23 Km/h,A Coruña
28 de marzo 2023,20,10,0 mm,Despejado,21 Km/h,A Coruña
28 de marzo 2022,17,12,0 mm,Cielo cubierto,14 Km/h,A Coruña
28 de marzo 2021,13,9,0 mm,Parcialmente nublado,14 Km/h,A Coruña
28 de marzo 2020,14,8,0 mm,Parcialmente nublado,17 Km/h,A Coruña
28 de marzo 2019,16,9,0 mm,Despejado,23 Km/h,A Coruña
29 de marzo 2023,19,13,"3,1 mm",Ligeras precipitaciones,31 Km/h,A Coruña
29 de marzo 2022,14,10,"0,1 mm",Neblina,14 Km/h,A Coruña
29 de marzo 2021,18,12,"0,2 mm",Parcialmente nublado,10 Km/h,A Coruña
29 de marzo 2020,15,8,0 mm,Parcialmente nublado,30 Km/h,A Coruña
29 de marzo 2019,16,9,0 mm,Despejado,12 Km/h,A Coruña
30 de marzo 2023,18,12,1 mm,Lluvia moderada a intervalos,40 Km/h,A Coruña
30 de marzo 2022,14,10,"0,8 mm",Ligeras precipitaciones,18 Km/h,A Coruña
30 de marzo 2021,18,12,"1,4 mm",Lluvia moderada a intervalos,10 Km/h,A Coruña
30 de marzo 2020,9,6,0 mm,Parcialmente nublado,38 Km/h,A Coruña
30 de marzo 2019,17,10,0 mm,Despejado,11 Km/h,A Coruña
31 de marzo 2023,15,11,"4,9 mm",Ligeras precipitaciones,35 Km/h,A Coruña
31 de marzo 2022,11,8,"2,9 mm",Ligeras precipitaciones,28 Km/h,A Coruña
31 de marzo 2021,20,13,"1,5 mm",Cielos tormentosos en las aproximaciones,9 Km/h,A Coruña
31 de marzo 2020,11,5,"1,2 mm",Ligeras precipitaciones,32 Km/h,A Coruña
31 de marzo 2019,16,10,1 mm,Lluvia moderada a intervalos,14 Km/h,A Coruña
1 de abril 2023,14,8,2 mm,Lluvia moderada a intervalos,19 Km/h,A Coruña
1 de abril 2022,10,5,"0,1 mm",Nublado,24 Km/h,A Coruña
1 de abril 2021,16,13,"6,2 mm",Ligeras precipitaciones,14 Km/h,A Coruña
1 de abril 2020,10,5,"7,3 mm",Ligeras lluvias,26 Km/h,A Coruña
1 de abril 2019,16,10,"0,8 mm",Despejado,20 Km/h,A Coruña
2 de abril 2023,15,7,0 mm,Parcialmente nublado,24 Km/h,A Coruña
2 de abril 2022,14,5,0 mm,Parcialmente nublado,30 Km/h,A Coruña
2 de abril 2021,13,12,"9,3 mm",Periodos de lluvia moderada,10 Km/h,A Coruña
2 de abril 2020,13,9,"0,7 mm",Llovizna,29 Km/h,A Coruña
2 de abril 2019,12,9,"1,5 mm",Ligeras precipitaciones,15 Km/h,A Coruña
3 de abril 2023,18,6,0 mm,Cielo cubierto,27 Km/h,A Coruña
3 de abril 2022,12,6,"0,2 mm",Lluvia moderada a intervalos,34 Km/h,A Coruña
3 de abril 2021,15,10,0 mm,Parcialmente nublado,33 Km/h,A Coruña
3 de abril 2020,15,6,0 mm,Parcialmente nublado,19 Km/h,A Coruña
3 de abril 2019,10,7,"6,9 mm",Ligeras precipitaciones,24 Km/h,A Coruña
4 de abril 2023,17,8,0 mm,Parcialmente nublado,30 Km/h,A Coruña
4 de abril 2022,13,5,0 mm,Parcialmente nublado,32 Km/h,A Coruña
4 de abril 2021,17,7,0 mm,Parcialmente nublado,28 Km/h,A Coruña
4 de abril 2020,18,10,"0,1 mm",Parcialmente nublado,15 Km/h,A Coruña
4 de abril 2019,9,7,"14,9 mm",Ligeras precipitaciones,28 Km/h,A Coruña
5 de abril 2023,18,6,0 mm,Cielo cubierto,27 Km/h,A Coruña
5 de abril 2022,13,5,0 mm,Parcialmente nublado,26 Km/h,A Coruña
5 de abril 2021,15,7,0 mm,Despejado,27 Km/h,A Coruña
5 de abril 2020,14,12,"25,1 mm",Fuertes lluvias,24 Km/h,A Coruña
5 de abril 2019,10,6,"5,9 mm",Ligeras precipitaciones,24 Km/h,A Coruña
6 de abril 2023,17,7,0 mm,Despejado,25 Km/h,A Coruña
6 de abril 2022,14,7,0 mm,Parcialmente nublado,15 Km/h,A Coruña
6 de abril 2021,12,8,"0,1 mm",Lluvia moderada a intervalos,34 Km/h,A Coruña
6 de abril 2020,14,10,"0,6 mm",Lluvia moderada a intervalos,13 Km/h,A Coruña
6 de abril 2019,10,8,"21,8 mm",Lluvias fuertes o moderadas,26 Km/h,A Coruña
7 de abril 2023,19,8,0 mm,Cielo cubierto,10 Km/h,A Coruña
7 de abril 2022,16,11,0 mm,Cielo cubierto,34 Km/h,A Coruña
7 de abril 2021,16,6,0 mm,Cielo cubierto,31 Km/h,A Coruña
7 de abril 2020,17,9,0 mm,Parcialmente nublado,9 Km/h,A Coruña
7 de abril 2019,12,7,"14,1 mm",Lluvias con tormenta fuertes o moderadas en la región,18 Km/h,A Coruña
8 de abril 2023,20,11,0 mm,Cielo cubierto,11 Km/h,A Coruña
8 de abril 2022,15,10,"1,3 mm",Ligeras precipitaciones,39 Km/h,A Coruña
8 de abril 2021,16,10,"0,1 mm",Parcialmente nublado,16 Km/h,A Coruña
8 de abril 2020,16,12,"0,9 mm",Lluvia moderada a intervalos,7 Km/h,A Coruña
8 de abril 2019,13,9,"7,6 mm",Ligeras precipitaciones,24 Km/h,A Coruña
9 de abril 2023,17,10,0 mm,Cielo cubierto,15 Km/h,A Coruña
9 de abril 2022,16,8,"0,1 mm",Despejado,18 Km/h,A Coruña
9 de abril 2021,16,10,"2,6 mm",Ligeras precipitaciones,16 Km/h,A Coruña
9 de abril 2020,16,12,"8,4 mm",Llovizna,6 Km/h,A Coruña
9 de abril 2019,11,9,19 mm,Lluvias fuertes o moderadas,24 Km/h,A Coruña
10 de abril 2023,15,10,1 mm,Llovizna,15 Km/h,A Coruña
10 de abril 2022,19,10,"0,3 mm",Lluvia moderada a intervalos,16 Km/h,A Coruña
10 de abril 2021,11,9,"33,3 mm",Fuertes lluvias,27 Km/h,A Coruña
10 de abril 2020,14,13,4 mm,Ligeras precipitaciones,18 Km/h,A Coruña
10 de abril 2019,12,10,9 mm,Ligeras precipitaciones,20 Km/h,A Coruña
11 de abril 2023,18,11,"1,7 mm",Llovizna a intervalos,24 Km/h,A Coruña
11 de abril 2022,13,11,"1,9 mm",Ligeras precipitaciones,22 Km/h,A Coruña
11 de abril 2021,10,7,"10,4 mm",Ligeras precipitaciones,29 Km/h,A Coruña
11 de abril 2020,14,12,"3,3 mm",Ligeras precipitaciones,12 Km/h,A Coruña
11 de abril 2019,13,7,0 mm,Parcialmente nublado,14 Km/h,A Coruña
12 de abril 2023,13,8,"26,3 mm",Ligeras precipitaciones,28 Km/h,A Coruña
12 de abril 2022,14,11,"1,1 mm",Ligeras precipitaciones,22 Km/h,A Coruña
12 de abril 2021,14,6,0 mm,Despejado,27 Km/h,A Coruña
12 de abril 2020,14,11,0 mm,Neblina,16 Km/h,A Coruña
12 de abril 2019,15,7,0 mm,Nublado,10 Km/h,A Coruña
13 de abril 2023,14,8,"9,6 mm",Ligeras precipitaciones,23 Km/h,A Coruña
13 de abril 2022,16,10,0 mm,Cielo cubierto,16 Km/h,A Coruña
13 de abril 2021,16,9,0 mm,Cielo cubierto,13 Km/h,A Coruña
13 de abril 2020,13,9,"0,2 mm",Lluvia moderada a intervalos,20 Km/h,A Coruña
13 de abril 2019,15,9,"1,8 mm",Ligeras lluvias,14 Km/h,A Coruña
14 de abril 2023,16,10,"21,3 mm",Ligeras precipitaciones,28 Km/h,A Coruña
14 de abril 2022,17,9,0 mm,Parcialmente nublado,19 Km/h,A Coruña
14 de abril 2021,17,11,"0,4 mm",Nublado,25 Km/h,A Coruña
14 de abril 2020,17,10,"5,9 mm",Intervalos de lluvias ligeras con tomenta en la región,21 Km/h,A Coruña
14 de abril 2019,17,13,"0,9 mm",Ligeras precipitaciones,13 Km/h,A Coruña
15 de abril 2023,19,11,"2,4 mm",Llovizna a intervalos,17 Km/h,A Coruña
15 de abril 2022,18,9,0 mm,Despejado,13 Km/h,A Coruña
15 de abril 2021,16,9,0 mm,Parcialmente nublado,31 Km/h,A Coruña
15 de abril 2020,17,12,"9,5 mm",Intervalos de lluvias ligeras con tomenta en la región,11 Km/h,A Coruña
15 de abril 2019,13,10,"9,9 mm",Lluvia moderada,19 Km/h,A Coruña
16 de abril 2023,21,10,0 mm,Despejado,18 Km/h,A Coruña
16 de abril 2022,17,11,0 mm,Cielo cubierto,11 Km/h,A Coruña
16 de abril 2021,14,7,0 mm,Parcialmente nublado,32 Km/h,A Coruña
16 de abril 2020,13,11,"10,4 mm",Lluvia moderada,18 Km/h,A Coruña
16 de abril 2019,17,9,0 mm,Nublado,14 Km/h,A Coruña
17 de abril 2023,20,10,0 mm,Cielo cubierto,26 Km/h,A Coruña
17 de abril 2022,17,10,0 mm,Cielo cubierto,18 Km/h,A Coruña
17 de abril 2021,16,6,0 mm,Parcialmente nublado,22 Km/h,A Coruña
17 de abril 2020,15,12,"3,8 mm",Ligeras precipitaciones,19 Km/h,A Coruña
17 de abril 2019,15,12,"5,6 mm",Ligeras lluvias,10 Km/h,A Coruña
18 de abril 2023,22,9,0 mm,Cielo cubierto,25 Km/h,A Coruña
18 de abril 2022,13,10,"0,2 mm",Nublado,25 Km/h,A Coruña
18 de abril 2021,15,7,0 mm,Parcialmente nublado,13 Km/h,A Coruña
18 de abril 2020,15,11,"7,6 mm",Lluvias fuertes o moderadas,14 Km/h,A Coruña
18 de abril 2019,15,10,"5,1 mm",Lluvia moderada a intervalos,15 Km/h,A Coruña
19 de abril 2023,21,10,0 mm,Despejado,15 Km/h,A Coruña
19 de abril 2022,12,9,2 mm,Ligeras precipitaciones,24 Km/h,A Coruña
19 de abril 2021,14,10,"6,9 mm",Ligeras precipitaciones,11 Km/h,A Coruña
19 de abril 2020,14,10,"0,4 mm",Cielo cubierto,12 Km/h,A Coruña
19 de abril 2019,16,11,"1,1 mm",Llovizna,23 Km/h,A Coruña
20 de abril 2023,16,9,0 mm,Cielo cubierto,10 Km/h,A Coruña
20 de abril 2022,14,8,"2,4 mm",Ligeras precipitaciones,23 Km/h,A Coruña
20 de abril 2021,14,11,"4,6 mm",Ligeras precipitaciones,10 Km/h,A Coruña
20 de abril 2020,15,10,5 mm,Ligeras precipitaciones,10 Km/h,A Coruña
20 de abril 2019,18,11,0 mm,Parcialmente nublado,23 Km/h,A Coruña
21 de abril 2023,16,9,"5,6 mm",Llovizna,25 Km/h,A Coruña
21 de abril 2022,11,7,"5,2 mm",Ligeras precipitaciones,19 Km/h,A Coruña
21 de abril 2021,13,9,"3,3 mm",Ligeras precipitaciones,7 Km/h,A Coruña
21 de abril 2020,13,11,"1,3 mm",Ligeras precipitaciones,15 Km/h,A Coruña
21 de abril 2019,17,11,0 mm,Despejado,19 Km/h,A Coruña
22 de abril 2023,17,9,"0,3 mm",Lluvia moderada a intervalos,24 Km/h,A Coruña
22 de abril 2022,12,7,2 mm,Ligeras precipitaciones,19 Km/h,A Coruña
22 de abril 2021,15,12,"1,9 mm",Ligeras precipitaciones,7 Km/h,A Coruña
22 de abril 2020,14,11,2 mm,Ligeras precipitaciones,13 Km/h,A Coruña
22 de abril 2019,17,10,"6,3 mm",Ligeras lluvias,20 Km/h,A Coruña
23 de abril 2023,15,13,"11,6 mm",Ligeras precipitaciones,28 Km/h,A Coruña
23 de abril 2022,14,8,"0,3 mm",Lluvia moderada a intervalos,28 Km/h,A Coruña
23 de abril 2021,18,11,"0,1 mm",Nublado,11 Km/h,A Coruña
23 de abril 2020,14,9,0 mm,Parcialmente nublado,11 Km/h,A Coruña
23 de abril 2019,11,8,"11,3 mm",Ligeras precipitaciones,20 Km/h,A Coruña
24 de abril 2023,18,10,"0,3 mm",Lluvia moderada a intervalos,21 Km/h,A Coruña
24 de abril 2022,14,9,"0,3 mm",Lluvia moderada a intervalos,16 Km/h,A Coruña
24 de abril 2021,17,11,11 mm,Intervalos de lluvias ligeras con tomenta en la región,10 Km/h,A Coruña
24 de abril 2020,14,10,0 mm,Cielo cubierto,11 Km/h,A Coruña
24 de abril 2019,11,8,"10,4 mm",Intervalos de lluvias ligeras con tomenta en la región,28 Km/h,A Coruña
25 de abril 2023,17,13,"3,9 mm",Ligeras precipitaciones,16 Km/h,A Coruña
25 de abril 2022,16,9,0 mm,Nublado,11 Km/h,A Coruña
25 de abril 2021,16,13,"14,1 mm",Lluvias fuertes o moderadas,9 Km/h,A Coruña
25 de abril 2020,15,13,"0,2 mm",Cielo cubierto,9 Km/h,A Coruña
25 de abril 2019,11,9,"21,1 mm",Lluvias fuertes o moderadas,32 Km/h,A Coruña
26 de abril 2023,18,13,"6,1 mm",Ligeras lluvias,11 Km/h,A Coruña
26 de abril 2022,15,11,"1,7 mm",Ligeras precipitaciones,11 Km/h,A Coruña
26 de abril 2021,15,13,"4,7 mm",Ligeras precipitaciones,15 Km/h,A Coruña
26 de abril 2020,14,12,"4,1 mm",Ligeras precipitaciones,18 Km/h,A Coruña
26 de abril 2019,12,9,"5,9 mm",Ligeras precipitaciones,23 Km/h,A Coruña
27 de abril 2023,19,14,0 mm,Cielo cubierto,9 Km/h,A Coruña
27 de abril 2022,15,9,"0,3 mm",Lluvia moderada a intervalos,13 Km/h,A Coruña
27 de abril 2021,14,11,0 mm,Nublado,28 Km/h,A Coruña
27 de abril 2020,13,10,"5,2 mm",Ligeras precipitaciones,17 Km/h,A Coruña
27 de abril 2019,14,10,"1,9 mm",Ligeras lluvias,15 Km/h,A Coruña
28 de abril 2023,16,13,"0,5 mm",Llovizna a intervalos,7 Km/h,A Coruña
28 de abril 2022,17,10,0 mm,Nublado,22 Km/h,A Coruña
28 de abril 2021,12,9,0 mm,Nublado,21 Km/h,A Coruña
28 de abril 2020,13,9,10 mm,Ligeras precipitaciones,23 Km/h,A Coruña
28 de abril 2019,18,9,0 mm,Despejado,16 Km/h,A Coruña
29 de abril 2023,17,13,1 mm,Lluvia moderada a intervalos,13 Km/h,A Coruña
29 de abril 2022,22,10,0 mm,Despejado,17 Km/h,A Coruña
29 de abril 2021,12,9,"0,1 mm",Parcialmente nublado,18 Km/h,A Coruña
29 de abril 2020,12,7,"6,9 mm",Ligeras precipitaciones,33 Km/h,A Coruña
29 de abril 2019,18,12,0 mm,Despejado,12 Km/h,A Coruña
30 de abril 2023,19,12,"0,2 mm",Lluvia moderada a intervalos,19 Km/h,A Coruña
30 de abril 2022,19,12,0 mm,Despejado,11 Km/h,A Coruña
30 de abril 2021,12,9,"0,1 mm",Parcialmente nublado,24 Km/h,A Coruña
30 de abril 2020,14,9,"4,9 mm",Ligeras precipitaciones,28 Km/h,A Coruña
30 de abril 2019,15,10,"0,1 mm",Parcialmente nublado,14 Km/h,A Coruña
1 de mayo 2023,21,10,0 mm,Cielo cubierto,25 Km/h,A Coruña
1 de mayo 2022,17,10,0 mm,Parcialmente nublado,14 Km/h,A Coruña
1 de mayo 2021,12,7,"0,2 mm",Lluvia moderada a intervalos,15 Km/h,A Coruña
1 de mayo 2020,16,13,"2,4 mm",Ligeras precipitaciones,27 Km/h,A Coruña
1 de mayo 2019,13,11,"1,9 mm",Ligeras precipitaciones,25 Km/h,A Coruña
2 de mayo 2023,22,13,0 mm,Despejado,10 Km/h,A Coruña
2 de mayo 2022,14,10,0 mm,Cielo cubierto,23 Km/h,A Coruña
2 de mayo 2021,13,6,0 mm,Parcialmente nublado,22 Km/h,A Coruña
2 de mayo 2020,17,14,"4,4 mm",Ligeras precipitaciones,18 Km/h,A Coruña
2 de mayo 2019,14,10,"0,3 mm",Nublado,24 Km/h,A Coruña
3 de mayo 2023,21,14,"3,9 mm",Llovizna,18 Km/h,A Coruña
3 de mayo 2022,16,11,"0,1 mm",Nublado,29 Km/h,A Coruña
3 de mayo 2021,13,6,0 mm,Nublado,14 Km/h,A Coruña
3 de mayo 2020,19,12,0 mm,Parcialmente nublado,13 Km/h,A Coruña
3 de mayo 2019,14,9,0 mm,Despejado,19 Km/h,A Coruña
4 de mayo 2022,19,11,0 mm,Parcialmente nublado,31 Km/h,A Coruña
4 de mayo 2021,15,8,0 mm,Nublado,13 Km/h,A Coruña
4 de mayo 2020,18,9,"4,1 mm",Ligeras precipitaciones,16 Km/h,A Coruña
4 de mayo 2019,15,9,0 mm,Despejado,23 Km/h,A Coruña
5 de mayo 2023,20,12,0 mm,Nublado,18 Km/h,A Coruña
5 de mayo 2022,19,10,0 mm,Cielo cubierto,29 Km/h,A Coruña
5 de mayo 2021,16,12,"2,5 mm",Ligeras precipitaciones,11 Km/h,A Coruña
5 de mayo 2020,19,12,0 mm,Parcialmente nublado,17 Km/h,A Coruña
5 de mayo 2019,17,9,0 mm,Parcialmente nublado,18 Km/h,A Coruña
6 de mayo 2023,17,12,"8,3 mm",Ligeras precipitaciones,16 Km/h,A Coruña
6 de mayo 2022,22,9,0 mm,Cielo cubierto,26 Km/h,A Coruña
6 de mayo 2021,18,12,"0,8 mm",Llovizna a intervalos,27 Km/h,A Coruña
6 de mayo 2020,18,13,0 mm,Parcialmente nublado,15 Km/h,A Coruña
6 de mayo 2019,16,11,"0,1 mm",Nublado,13 Km/h,A Coruña
7 de mayo 2023,18,12,"0,2 mm",Cielo cubierto,11 Km/h,A Coruña
7 de mayo 2022,22,10,0 mm,Despejado,25 Km/h,A Coruña
7 de mayo 2021,18,12,0 mm,Parcialmente nublado,21 Km/h,A Coruña
7 de mayo 2020,16,12,0 mm,Parcialmente nublado,15 Km/h,A Coruña
7 de mayo 2019,16,11,5 mm,Ligeras precipitaciones,26 Km/h,A Coruña
8 de mayo 2023,19,12,0 mm,Nublado,15 Km/h,A Coruña
8 de mayo 2022,23,11,0 mm,Despejado,23 Km/h,A Coruña
8 de mayo 2021,19,12,0 mm,Parcialmente nublado,26 Km/h,A Coruña
8 de mayo 2020,17,13,"0,2 mm",Lluvia moderada a intervalos,8 Km/h,A Coruña
8 de mayo 2019,14,11,"9,5 mm",Ligeras precipitaciones,35 Km/h,A Coruña
9 de mayo 2023,19,11,"5,2 mm",Ligeras precipitaciones,17 Km/h,A Coruña
9 de mayo 2022,20,12,0 mm,Despejado,10 Km/h,A Coruña
9 de mayo 2021,14,10,"19,3 mm",Ligeras precipitaciones,29 Km/h,A Coruña
9 de mayo 2020,16,13,"2,8 mm",Ligeras precipitaciones,9 Km/h,A Coruña
9 de mayo 2019,14,11,"32,9 mm",Lluvias con tormenta fuertes o moderadas en la región,20 Km/h,A Coruña
10 de mayo 2023,17,11,"2,1 mm",Lluvia moderada a intervalos,15 Km/h,A Coruña
10 de mayo 2022,20,11,0 mm,Despejado,12 Km/h,A Coruña
10 de mayo 2021,11,9,"20,1 mm",Lluvias fuertes o moderadas,21 Km/h,A Coruña
10 de mayo 2020,16,10,"1,5 mm",Lluvia moderada a intervalos,13 Km/h,A Coruña
10 de mayo 2019,13,11,"3,7 mm",Ligeras precipitaciones,20 Km/h,A Coruña
11 de mayo 2023,15,10,"1,4 mm",Lluvia moderada a intervalos,22 Km/h,A Coruña
11 de mayo 2022,19,11,0 mm,Despejado,12 Km/h,A Coruña
11 de mayo 2021,14,8,"8,5 mm",Ligeras precipitaciones,26 Km/h,A Coruña
