id,createdTime,fields.Temp Max,fields.Viento,fields.Lluvia,fields.Tiempo,fields.Temp Min,fields.Ubicacion,fields.Fecha
recEJb17TspaEEsof,2024-01-10T18:09:06.000Z,17,17,1.5,Llovizna,10,Madrid,5 de abril 2020
recEKyq0TSqukYM9g,2024-01-10T18:13:09.000Z,16,18,0.1,Despejado,8,A Coruña,9 de abril 2022
recELOxu0swXprqbm,2024-01-10T18:14:59.000Z,20,9,1.3,Ligeras precipitaciones,16,A Coruña,20 de septiembre 2019
recEM5ReJ5uHWHa86,2024-01-10T18:05:44.000Z,25,9,0.0,Parcialmente nublado,21,Málaga,2 de junio 2020
recENeFw9y97ph2Z7,2024-01-10T18:05:05.000Z,17,8,0.0,Parcialmente nublado,12,Málaga,6 de abril 2020
recENjxul8sGKjhxj,2024-01-10T18:09:36.000Z,27,19,0.0,Parcialmente nublado,14,Madrid,20 de mayo 2021
recEPpJJWANpAd0lW,2024-01-10T18:08:34.000Z,16,11,0.0,Parcialmente nublado,8,Madrid,14 de febrero 2021
recEQVcW5WDt0jul1,2024-01-10T18:11:17.000Z,15,17,0.0,Parcialmente nublado,8,Madrid,21 de octubre 2023
recEQecFUb1bPC82z,2024-01-10T18:08:51.000Z,23,12,0.0,Parcialmente nublado,15,Madrid,12 de marzo 2020
recET6nThLrnxrVpU,2024-01-10T18:06:24.000Z,34,11,0.0,Despejado,24,Málaga,3 de agosto 2022
recETdHrRrIOecFfP,2024-01-10T18:04:11.000Z,14,8,1.5,Llovizna,12,Málaga,18 de enero 2020
recEULYt2CIIzRJi1,2024-01-10T18:05:39.000Z,23,12,0.0,Parcialmente nublado,20,Málaga,25 de mayo 2020
recEUOzR92bZc4U8j,2024-01-10T18:04:52.000Z,19,13,0.0,Despejado,12,Málaga,20 de marzo 2023
recEUWIFNjwWjQwB7,2024-01-10T18:14:18.000Z,21,9,1.0,Llovizna a intervalos,17,A Coruña,20 de julio 2019
recEWMqN6sTJg8LrE,2024-01-10T18:12:44.000Z,16,22,1.3,Llovizna,10,A Coruña,2 de marzo 2022
recEWnoIaBOqGlop9,2024-01-10T18:06:47.000Z,27,10,0.0,Parcialmente nublado,22,Málaga,7 de septiembre 2020
recEY83Q8I9Vnw9cB,2024-01-10T18:06:50.000Z,26,22,1.5,Lluvias ligeras a intervalos,21,Málaga,13 de septiembre 2021
recEYRuE8bpgayye1,2024-01-10T18:13:05.000Z,12,15,1.5,Ligeras precipitaciones,9,A Coruña,2 de abril 2019
recEZI5iRzhzHyWMY,2024-01-10T18:08:53.000Z,25,6,0.0,Despejado,10,Madrid,15 de marzo 2019
recEZOR04UOHWExbG,2024-01-10T18:11:54.000Z,10,22,2.6,Nublado,7,Madrid,15 de diciembre 2020
recEZSf8KcvZBjWm1,2024-01-10T18:15:01.000Z,23,31,0.0,Parcialmente nublado,16,A Coruña,23 de septiembre 2021
recEczRKppHCMqI7c,2024-01-10T18:15:19.000Z,15,24,7.2,Ligeras precipitaciones,11,A Coruña,21 de octubre 2023
recEdbi7GFKnuUiKB,2024-01-10T18:12:05.000Z,15,8,0.0,Despejado,6,Madrid,31 de diciembre 2022
recEdhP9jM0A1s2LV,2024-01-10T18:13:34.000Z,14,25,53.6,Fuertes lluvias,11,A Coruña,15 de mayo 2021
recEeNqyB194xa3ZM,2024-01-10T18:11:10.000Z,28,10,0.0,Despejado,19,Madrid,10 de octubre 2023
recEefAznWPZRatl0,2024-01-10T18:04:25.000Z,17,6,0.0,Despejado,12,Málaga,6 de febrero 2019
recEeuSNMAS4hSCsy,2024-01-10T18:15:28.000Z,12,35,3.9,Ligeras precipitaciones,6,A Coruña,4 de noviembre 2020
recEgBB8CMDE672ZM,2024-01-10T18:09:36.000Z,19,24,0.0,Nublado,9,Madrid,20 de mayo 2023
recEhPUuiwnusFJhc,2024-01-10T18:04:37.000Z,16,18,0.7,Ligeras precipitaciones,12,Málaga,25 de febrero 2022
recEhlJSVwIfno8nl,2024-01-10T18:12:01.000Z,10,5,0.0,Cielo cubierto,4,Madrid,25 de diciembre 2023
recEizmvZmPgUDIco,2024-01-10T18:07:18.000Z,18,6,6.8,Ligeras lluvias,16,Málaga,22 de octubre 2020
recEkL27MMqE4BfD0,2024-01-10T18:16:04.000Z,13,11,0.0,Cielo cubierto,9,A Coruña,29 de diciembre 2023
recElRrnXgPbh2j3H,2024-01-10T18:09:22.000Z,23,12,0.0,Parcialmente nublado,12,Madrid,30 de abril 2022
recElZ5YbYkqVr8es,2024-01-10T18:05:34.000Z,27,14,0.0,Parcialmente nublado,21,Málaga,17 de mayo 2021
recEmOYlr5deYjswk,2024-01-10T18:06:56.000Z,23,8,1.5,Ligeras precipitaciones,21,Málaga,20 de septiembre 2019
recEmuYPfRhQf2ZMs,2024-01-10T18:08:14.000Z,9,20,0.3,Llovizna a intervalos,5,Madrid,15 de enero 2023
recEoOuAeCwRvQzGD,2024-01-10T18:08:37.000Z,15,7,0.0,Despejado,2,Madrid,20 de febrero 2022
recEoXsyZpzF5lLDs,2024-01-10T18:07:16.000Z,21,10,0.0,Parcialmente nublado,17,Málaga,20 de octubre 2020
recEqmNEO8DDTsq77,2024-01-10T18:09:36.000Z,28,9,0.0,Parcialmente nublado,17,Madrid,19 de mayo 2020
recEr5rwNJD3zY4g6,2024-01-10T18:12:52.000Z,12,24,0.0,Nublado,8,A Coruña,13 de marzo 2020
recEr78RI60tg207w,2024-01-10T18:15:44.000Z,12,10,0.0,Cielo cubierto,9,A Coruña,29 de noviembre 2022
recErxDPk0ZIzV5e6,2024-01-10T18:15:27.000Z,13,22,5.9,Ligeras precipitaciones,10,A Coruña,3 de noviembre 2021
recEs8f0I32rMszPh,2024-01-10T18:11:39.000Z,5,26,13.7,Ligeras precipitaciones,3,Madrid,23 de noviembre 2021
recEsU427y0RYyFWD,2024-01-10T18:04:57.000Z,21,10,0.0,Parcialmente nublado,13,Málaga,24 de marzo 2021
recEv1yKl68UM9MQq,2024-01-10T18:05:56.000Z,30,17,0.1,Lluvia moderada a intervalos,20,Málaga,21 de junio 2022
recEvP7NRno4XEGnV,2024-01-10T18:12:40.000Z,13,29,0.1,Cielo cubierto,8,A Coruña,24 de febrero 2022
recEvx4orvZqXwGQA,2024-01-10T18:04:46.000Z,21,14,0.0,Parcialmente nublado,13,Málaga,9 de marzo 2020
recEwJR81nX90mTtj,2024-01-10T18:06:01.000Z,32,10,0.0,Despejado,23,Málaga,29 de junio 2023
recEyYqjA18Spzo82,2024-01-10T18:10:15.000Z,36,18,0.0,Parcialmente nublado,24,Madrid,19 de julio 2021
recEybbKjtxLpk3bE,2024-01-10T18:09:01.000Z,21,28,0.0,Parcialmente nublado,10,Madrid,29 de marzo 2021
recEyovUkiRaqFAZo,2024-01-10T18:10:32.000Z,27,17,10.8,Intervalos de lluvias ligeras con tomenta en la región,15,Madrid,12 de agosto 2020
recEz2HnllbJMhISO,2024-01-10T18:07:22.000Z,21,10,0.0,Despejado,18,Málaga,29 de octubre 2019
recF190NIBiOqBzA8,2024-01-10T18:13:38.000Z,20,7,0.0,Parcialmente nublado,11,A Coruña,21 de mayo 2020
recF30gN2LCwsusVs,2024-01-10T18:12:10.000Z,7,41,2.0,Ligeras precipitaciones,3,A Coruña,9 de enero 2021
recF3IfWs3E3khLEW,2024-01-10T18:08:00.000Z,19,7,0.0,Cielo cubierto,13,Málaga,25 de diciembre 2019
recF3U20awABicG0X,2024-01-10T18:06:11.000Z,33,11,0.0,Despejado,24,Málaga,14 de julio 2022
recF5Dpo39muZRxeR,2024-01-10T18:05:10.000Z,16,8,1.0,Ligeras lluvias,13,Málaga,14 de abril 2021
recF6VaS8bX7MH0LP,2024-01-10T18:13:44.000Z,19,7,0.0,Parcialmente nublado,14,A Coruña,28 de mayo 2021
recF6hzDKqLTGhDUb,2024-01-10T18:07:55.000Z,14,18,0.0,Parcialmente nublado,9,Málaga,18 de diciembre 2019
recF8BywtcD9bgSgQ,2024-01-10T18:14:45.000Z,22,23,0.0,Parcialmente nublado,15,A Coruña,29 de agosto 2019
recF8SpIkKMdBNpxh,2024-01-10T18:06:43.000Z,30,12,0.7,Intervalos de lluvias ligeras con tomenta en la región,23,Málaga,1 de septiembre 2021
recF8aXSLw5vE2m6P,2024-01-10T18:10:56.000Z,28,9,1.0,Despejado,20,Madrid,18 de septiembre 2019
recF8etBwGsrbHOtx,2024-01-10T18:15:33.000Z,15,8,0.0,Cielo cubierto,10,A Coruña,13 de noviembre 2021
recF96cqQZaSmJltw,2024-01-10T18:09:54.000Z,29,18,0.0,Despejado,13,Madrid,15 de junio 2019
recFA3wHM4BAqXj0T,2024-01-10T18:14:13.000Z,21,34,0.0,Nublado,16,A Coruña,11 de julio 2020
recFB3Jul4X5jznTA,2024-01-10T18:15:23.000Z,18,16,0.0,Parcialmente nublado,13,A Coruña,26 de octubre 2019
recFDHLqYHo6K3tVq,2024-01-10T18:08:18.000Z,9,16,0.0,Despejado,2,Madrid,21 de enero 2019
recFDhTfl2xx8XW5N,2024-01-10T18:10:32.000Z,36,20,0.0,Despejado,23,Madrid,13 de agosto 2023
recFE4BRiXIp9AvFm,2024-01-10T18:10:57.000Z,18,31,0.6,Lluvia moderada a intervalos,14,Madrid,21 de septiembre 2023
recFE5C3jWMYEavBl,2024-01-10T18:16:01.000Z,12,38,8.1,Ligeras precipitaciones,10,A Coruña,25 de diciembre 2022
recFEYUoxGGImV9m3,2024-01-10T18:06:27.000Z,30,16,0.0,Cielo cubierto,24,Málaga,7 de agosto 2019
recFEwBT5icCO8Rnd,2024-01-10T18:09:09.000Z,17,19,4.2,Intervalos de lluvias ligeras con tomenta en la región,9,Madrid,10 de abril 2021
recFEyGEa7v0olPuo,2024-01-10T18:15:56.000Z,16,9,0.0,Despejado,9,A Coruña,16 de diciembre 2021
recFF81IIoALPFGCy,2024-01-10T18:07:50.000Z,20,20,0.0,Despejado,11,Málaga,10 de diciembre 2021
recFHjp5p2wPeWeYL,2024-01-10T18:10:30.000Z,38,27,0.0,Nublado,25,Madrid,10 de agosto 2023
recFHxLoBfZHIGcmF,2024-01-10T18:05:32.000Z,29,9,0.0,Despejado,18,Málaga,17 de mayo 2022
recFHzW7eRj3QtdfQ,2024-01-10T18:13:37.000Z,20,8,0.0,Parcialmente nublado,12,A Coruña,19 de mayo 2020
recFIbliNHDuzc14p,2024-01-10T18:07:59.000Z,16,8,0.8,Nublado,13,Málaga,23 de diciembre 2021
recFIefayPq9bGGyG,2024-01-10T18:08:32.000Z,10,15,0.0,Nublado,2,Madrid,12 de febrero 2023
recFJExjCo3JrCTAE,2024-01-10T18:11:58.000Z,13,6,0.0,Cielo cubierto,7,Madrid,21 de diciembre 2021
recFJGv5zuYRIV7nV,2024-01-10T18:15:12.000Z,20,22,0.0,Cielo cubierto,14,A Coruña,12 de octubre 2022
recFL7OTtyvaQpuXa,2024-01-10T18:11:18.000Z,17,29,0.9,Ligeras precipitaciones,14,Madrid,23 de octubre 2022
recFLAw2e9QGxFfBg,2024-01-10T18:05:55.000Z,26,17,0.0,Cielo cubierto,19,Málaga,19 de junio 2021
recFLQMdM5zd80MF8,2024-01-10T18:08:12.000Z,12,6,0.0,Parcialmente nublado,2,Madrid,12 de enero 2019
recFMjnHg0yi7TTA8,2024-01-10T18:12:39.000Z,10,25,1.5,Ligeras precipitaciones,8,A Coruña,22 de febrero 2023
recFNJzJyzkLQi58x,2024-01-10T18:10:08.000Z,28,15,0.5,Parcialmente nublado,18,Madrid,9 de julio 2019
recFOgiJipvWYHkbU,2024-01-10T18:15:15.000Z,17,16,7.5,Ligeras lluvias,14,A Coruña,15 de octubre 2022
recFOo1IwprDKqvOJ,2024-01-10T18:07:44.000Z,15,14,0.0,Nublado,10,Málaga,3 de diciembre 2023
recFOoQUiooIL2GXI,2024-01-10T18:09:24.000Z,18,13,0.6,Ligeras precipitaciones,8,Madrid,2 de mayo 2021
recFOtYSjxelQeVIb,2024-01-10T18:04:59.000Z,27,15,0.0,Cielo cubierto,14,Málaga,30 de marzo 2023
recFPqZDtzcyBWnhu,2024-01-10T18:05:13.000Z,16,11,31.6,Lluvias fuertes o moderadas,14,Málaga,18 de abril 2019
recFR5lw7q0Dmgty6,2024-01-10T18:14:18.000Z,21,18,0.1,Parcialmente nublado,14,A Coruña,21 de julio 2023
recFRG9NE6zwQEJu3,2024-01-10T18:14:25.000Z,28,33,0.0,Despejado,17,A Coruña,31 de julio 2022
recFRuHcMLzidxUL8,2024-01-10T18:08:06.000Z,13,4,0.0,Parcialmente nublado,7,Madrid,2 de enero 2020
recFSMMGRSp7AtGAC,2024-01-10T18:06:29.000Z,28,10,2.1,Lluvia moderada a intervalos,21,Málaga,11 de agosto 2020
recFUpWEMniipvgpM,2024-01-10T18:07:00.000Z,29,20,0.0,Despejado,20,Málaga,28 de septiembre 2022
recFVBbjgGIQux4XO,2024-01-10T18:07:56.000Z,18,9,0.0,Despejado,12,Málaga,20 de diciembre 2022
recFVI7QAFg559Vn7,2024-01-10T18:12:05.000Z,17,6,0.0,Despejado,7,Madrid,31 de diciembre 2021
recFVejHEq2jcPJGr,2024-01-10T18:07:07.000Z,24,9,0.0,Despejado,20,Málaga,8 de octubre 2022
recFWAKIjlkn4xnQS,2024-01-10T18:10:02.000Z,30,11,0.0,Parcialmente nublado,18,Madrid,29 de junio 2021
recFXNtSkmkSProvk,2024-01-10T18:11:38.000Z,13,43,1.5,Llovizna,8,Madrid,21 de noviembre 2022
recFYQT5Qt3z115Ib,2024-01-10T18:05:31.000Z,25,16,0.0,Parcialmente nublado,17,Málaga,14 de mayo 2022
recFYbRj6K4WUH4Ek,2024-01-10T18:04:35.000Z,14,11,0.0,Parcialmente nublado,10,Málaga,21 de febrero 2019
recFZcrxNXq9HVlWR,2024-01-10T18:11:54.000Z,12,12,0.0,Despejado,5,Madrid,15 de diciembre 2023
recFZnNqKcPU0cYMS,2024-01-10T18:11:03.000Z,30,11,0.0,Despejado,20,Madrid,29 de septiembre 2023
recFZyQcYTDEiIFKc,2024-01-10T18:10:02.000Z,35,11,0.0,Parcialmente nublado,25,Madrid,29 de junio 2020
recFbMTWPDZdjxEJs,2024-01-10T18:04:11.000Z,14,11,0.0,Parcialmente nublado,10,Málaga,17 de enero 2019
recFchg7qnycoStER,2024-01-10T18:06:09.000Z,30,8,0.0,Parcialmente nublado,23,Málaga,11 de julio 2021
recFe3Er32WlxomWL,2024-01-10T18:09:25.000Z,28,10,0.0,Parcialmente nublado,18,Madrid,3 de mayo 2020
recFe8DPZE2NS7r2l,2024-01-10T18:05:48.000Z,28,9,0.0,Parcialmente nublado,22,Málaga,9 de junio 2021
recFfJUOm1Nca16X9,2024-01-10T18:07:24.000Z,24,6,0.0,Despejado,20,Málaga,2 de noviembre 2020
recFfQshW3Kr4fwl5,2024-01-10T18:13:29.000Z,22,25,0.0,Despejado,10,A Coruña,7 de mayo 2022
recFfV67W6iHa6IWP,2024-01-10T18:10:03.000Z,36,22,0.0,Parcialmente nublado,24,Madrid,30 de junio 2020
recFfutlcsHpzjfNE,2024-01-10T18:05:25.000Z,26,11,0.0,Despejado,17,Málaga,6 de mayo 2023
recFhX1NyjUeMpHA4,2024-01-10T18:11:41.000Z,14,20,0.1,Nublado,7,Madrid,25 de noviembre 2019
recFhntTvkc7tcE2D,2024-01-10T18:10:30.000Z,29,34,0.4,Lluvia moderada a intervalos,21,Madrid,9 de agosto 2019
recFidXlM2ShzGy8Q,2024-01-10T18:06:50.000Z,22,13,2.5,Lluvia moderada a intervalos,19,Málaga,12 de septiembre 2019
recFkWTAuuGjKzx1k,2024-01-10T18:14:39.000Z,20,12,0.0,Parcialmente nublado,14,A Coruña,22 de agosto 2020
recFktHsfv9OQNRcX,2024-01-10T18:04:12.000Z,14,22,4.9,Ligeras precipitaciones,12,Málaga,20 de enero 2019
recFlrgBm0y12Z3Ty,2024-01-10T18:10:07.000Z,26,33,0.0,Cielo cubierto,19,Madrid,6 de julio 2021
recFmczJtML30Hkru,2024-01-10T18:05:18.000Z,21,12,0.8,Lluvia moderada a intervalos,14,Málaga,27 de abril 2022
recFn07Av2eyUcDOV,2024-01-10T18:04:46.000Z,17,22,0.0,Cielo cubierto,10,Málaga,9 de marzo 2022
recFn94JoBi0ne3GC,2024-01-10T18:06:48.000Z,26,11,1.0,Lluvia moderada a intervalos,22,Málaga,8 de septiembre 2023
recFnDezfzhfhfXwF,2024-01-10T18:09:51.000Z,25,16,0.0,Despejado,13,Madrid,12 de junio 2019
recFnFvvdcblVA4yE,2024-01-10T18:11:13.000Z,16,20,0.0,Parcialmente nublado,12,Madrid,14 de octubre 2020
recFoFIcv2frgE9QH,2024-01-10T18:11:21.000Z,17,43,1.7,Ligeras precipitaciones,12,Madrid,26 de octubre 2023
recFozJYFE3XBKgX5,2024-01-10T18:09:01.000Z,13,21,0.0,Parcialmente nublado,2,Madrid,27 de marzo 2020
